old_url,new_url,redirect_type,prerequisite,status,notes
/artificial-grass-johannesburg.html,/artificial-grass-johannesburg,301,none - page exists on Wix,done,Created via API 2026-08-18 (ID: 1dca8b6f)
/artificial-grass-cape-town.html,/artificial-grass-cape-town,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-sandton.html,/artificial-grass-sandton,301,none - page exists on Wix,done,Created via API 2026-08-18 (ID: c13d9837)
/page-pretoria-east.html,/artificial-grass-pretoria-east,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-centurion.html,/artificial-grass-centurion,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-steyn-city.html,/artificial-grass-steyn-city,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-midrand.html,/artificial-grass-midrand,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-fourways.html,/artificial-grass-fourways,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-bryanston.html,/artificial-grass-bryanston,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-bedfordview.html,/artificial-grass-bedfordview,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-boksburg.html,/artificial-grass-boksburg,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-edenvale.html,/artificial-grass-edenvale,301,none - page exists on Wix,done,Created via API 2026-08-18 (ID: e79e6935)
/page-houghton.html,/artificial-grass-houghton,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-hyde-park.html,/artificial-grass-hyde-park,301,none - page exists on Wix,done,Created via API 2026-08-18 (ID: a0f1ca42)
/page-mooikloof.html,/artificial-grass-mooikloof,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-randburg.html,/artificial-grass-randburg,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-roodepoort.html,/artificial-grass-roodepoort,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-silver-lakes.html,/artificial-grass-silver-lakes,301,RECREATE page first,blocked,Page does not exist on Wix yet
/page-waterfall-city.html,/artificial-grass-waterfall-city,301,RECREATE page first,blocked,Page does not exist on Wix yet
/quote-calculator.html,/quote,301,none - page exists on Wix,done,Created via API 2026-08-18 (ID: e84455ee)
/contact.html,/contact,301,none - page exists on Wix,done,Created via API 2026-08-18 (ID: 434b225e)
/blog/artificial-grass-cost-guide-south-africa.html,/post/how-much-does-artificial-grass-cost-per-m-in-south-africa-2026,301,none - blog post live on Wix,done,Created via API 2026-08-18 (ID: 62306453)
/blog/drought-proof-garden-cape-town.html,/post/drought-proof-your-cape-town-garden-artificial-grass-and-water-restrictions,301,none - blog post live on Wix,done,Created via API 2026-08-18 (ID: 825c8276)
/privacy-policy.html,/english-privacy-policy,301,none - page exists on Wix,done,Created via API 2026-08-18 (ID: 37799fe0)
/primeturf-vs-easigrass.html,/,301,none - redirect to homepage,done,Created via API 2026-08-18 (ID: cdeba6a7)
/terms-of-service.html,/terms-of-service,301,RECREATE page first,blocked,Old page had noindex - legal completeness only
